Entity Name,Plant State,Technology,Nameplate Capacity (MW),County,Sector,Operating Year
"CalPeak Power, LLC",CA,Natural Gas Fired Combustion Turbine,60.5,Fresno,IPP Non-CHP,2005.0
AES Distributed Energy,TX,Onshore Wind Turbine,120.6,Taylor,IPP Non-CHP,2006.0
Invenergy Services LLC,MN,Natural Gas Fired Combustion Turbine,173.4,Goodhue,IPP Non-CHP,2008.0
Invenergy Services LLC,MN,Natural Gas Fired Combustion Turbine,173.4,Goodhue,IPP Non-CHP,2008.0
Stevens Community Medical Center,MN,Petroleum Liquids,1.0,Stevens,Commercial Non-CHP,2004.0
North Carolina El Member Corp,NC,Natural Gas Fired Combustion Turbine,57.3,Anson,Electric Utility,2007.0
North Carolina El Member Corp,NC,Natural Gas Fired Combustion Turbine,57.3,Anson,Electric Utility,2007.0
North Carolina El Member Corp,NC,Natural Gas Fired Combustion Turbine,57.3,Anson,Electric Utility,2007.0
North Carolina El Member Corp,NC,Natural Gas Fired Combustion Turbine,57.3,Anson,Electric Utility,2007.0
North Carolina El Member Corp,NC,Natural Gas Fired Combustion Turbine,57.3,Anson,Electric Utility,2007.0
North Carolina El Member Corp,NC,Natural Gas Fired Combustion Turbine,57.3,Anson,Electric Utility,2007.0
Seneca Energy II,NY,Landfill Gas,0.8,Ontario,IPP Non-CHP,2003.0
Seneca Energy II,NY,Landfill Gas,1.6,Ontario,IPP Non-CHP,2013.0
Seneca Energy II,NY,Landfill Gas,1.6,Ontario,IPP Non-CHP,2013.0
Seneca Energy II,NY,Landfill Gas,0.8,Ontario,IPP Non-CHP,2003.0
Seneca Energy II,NY,Landfill Gas,0.8,Ontario,IPP Non-CHP,2003.0
Seneca Energy II,NY,Landfill Gas,0.8,Ontario,IPP Non-CHP,2003.0
Seneca Energy II,NY,Landfill Gas,0.8,Ontario,IPP Non-CHP,2005.0
Seneca Energy II,NY,Landfill Gas,0.8,Ontario,IPP Non-CHP,2005.0
Seneca Energy II,NY,Landfill Gas,0.8,Ontario,IPP Non-CHP,2005.0
Seneca Energy II,NY,Landfill Gas,0.8,Ontario,IPP Non-CHP,2010.0
Seneca Energy II,NY,Landfill Gas,1.6,Ontario,IPP Non-CHP,2013.0
Empire Generating Co LLC,NY,Natural Gas Fired Combined Cycle,179.0,Rensselaer,IPP CHP,2010.0
Empire Generating Co LLC,NY,Natural Gas Fired Combined Cycle,179.0,Rensselaer,IPP CHP,2010.0
Empire Generating Co LLC,NY,Natural Gas Fired Combined Cycle,295.7,Rensselaer,IPP CHP,2010.0
North Carolina Mun Power Agny #1,NC,Petroleum Liquids,1.8,Guilford,Electric Utility,2005.0
North Carolina Mun Power Agny #1,NC,Petroleum Liquids,1.8,Guilford,Electric Utility,2005.0
North Carolina Mun Power Agny #1,NC,Petroleum Liquids,1.8,Davidson,Electric Utility,2005.0
North Carolina Mun Power Agny #1,NC,Petroleum Liquids,1.8,Davidson,Electric Utility,2005.0
North Carolina Mun Power Agny #1,NC,Petroleum Liquids,1.8,Gaston,Electric Utility,2005.0
North Carolina Mun Power Agny #1,NC,Petroleum Liquids,1.8,Gaston,Electric Utility,2005.0
North Carolina Mun Power Agny #1,NC,Petroleum Liquids,1.8,Gaston,Electric Utility,2005.0
North Carolina Mun Power Agny #1,NC,Petroleum Liquids,1.8,Stanly,Electric Utility,2006.0
North Carolina Mun Power Agny #1,NC,Petroleum Liquids,1.8,Stanly,Electric Utility,2006.0
Rochester Public Utilities,MN,Petroleum Liquids,1.8,Olmsted,Electric Utility,2005.0
Rochester Public Utilities,MN,Petroleum Liquids,1.8,Olmsted,Electric Utility,2005.0
"FPL Energy Callahan Wind, LLC",TX,Onshore Wind Turbine,114.0,Taylor,IPP Non-CHP,2005.0
"Sequitur Renewables, LLC",CA,Onshore Wind Turbine,18.0,Alameda,IPP Non-CHP,2004.0
Wind Stream Operations LLC,CA,Onshore Wind Turbine,2.4,Kern,IPP Non-CHP,1986.0
Wind Stream Operations LLC,CA,Onshore Wind Turbine,1.6,Kern,IPP Non-CHP,1985.0
